,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
184,prieska,za,0.0,56.0,-29.67,22.74,41.11,41.11,3.06,1554174681
185,zhezkazgan,kz,0.0,78.0,47.8,67.71,33.8,33.8,6.71,1554172200
186,golden,ca,0.0,80.0,51.3,-116.96,24.82,24.82,1.72,1554174646
187,komsomolskiy,ru,80.0,93.0,67.55,63.78,25.63,25.63,17.27,1554174842
188,hilo,us,90.0,65.0,19.71,-155.08,73.38,78.8,4.7,1554174808
189,north bend,us,90.0,100.0,43.41,-124.22,53.51,54.0,5.82,1554174927
190,banjar,id,76.0,92.0,-7.37,108.54,75.22,75.22,2.95,1554174864
191,kodiak,us,1.0,24.0,39.95,-94.76,45.97,48.0,11.41,1554174731
192,cape town,za,0.0,67.0,-33.93,18.42,57.7,60.01,14.99,1554174491
193,dikson,ru,76.0,97.0,73.51,80.55,25.81,25.81,25.21,1554174811
194,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
195,kruisfontein,za,88.0,93.0,-34.0,24.73,56.5,56.5,4.41,1554174817
196,alice springs,au,0.0,20.0,-23.7,133.88,77.0,77.0,12.75,1554172200
197,cabo san lucas,mx,5.0,73.0,22.89,-109.91,72.45,73.99,3.36,1554174611
198,bambous virieux,mu,20.0,94.0,-20.34,57.76,74.68,75.99,3.36,1554174541
199,oranjemund,na,0.0,90.0,-28.55,16.43,59.11,59.11,24.32,1554174670
200,hobart,au,75.0,42.0,-42.88,147.33,65.08,66.99,3.36,1554174138
202,college,us,1.0,43.0,64.86,-147.8,50.63,53.6,3.36,1554174646
203,sivas,tr,75.0,79.0,39.75,37.01,32.0,32.0,5.82,1554169800
204,vaini,to,20.0,66.0,-21.2,-175.2,84.2,84.2,10.29,1554170400
205,hirara,jp,40.0,52.0,24.8,125.28,70.74,71.6,17.22,1554170400
206,solnechnyy,ru,12.0,67.0,50.72,136.64,32.38,32.38,6.64,1554174683
207,nanortalik,gl,92.0,100.0,60.14,-45.24,26.8,26.8,29.57,1554174947
208,bubaque,gw,0.0,100.0,11.28,-15.83,78.91,78.91,13.35,1554174948
209,pisco,pe,75.0,88.0,-13.71,-76.2,68.0,68.0,10.29,1554170400
211,lodja,cd,44.0,94.0,-3.52,23.6,71.89,71.89,2.28,1554174683
212,hobart,au,75.0,42.0,-42.88,147.33,65.08,66.99,3.36,1554174138
213,kloulklubed,pw,75.0,74.0,7.04,134.26,84.2,84.2,8.05,1554173400
214,kompaniyivka,ua,0.0,54.0,48.25,32.21,34.99,34.99,16.82,1554174684
215,cape town,za,0.0,67.0,-33.93,18.42,57.7,60.01,14.99,1554174491
216,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
218,tilichiki,ru,92.0,93.0,60.47,166.1,34.72,34.72,11.9,1554174684
219,rochegda,ru,0.0,81.0,62.67,43.41,18.16,18.16,6.08,1554174684
220,tura,ru,80.0,65.0,64.27,100.22,29.32,29.32,7.99,1554174684
221,kodiak,us,1.0,24.0,39.95,-94.76,45.97,48.0,11.41,1554174731
222,kruisfontein,za,88.0,93.0,-34.0,24.73,56.5,56.5,4.41,1554174817
223,ashland,us,1.0,41.0,38.48,-82.64,35.46,39.99,3.36,1554174604
224,ahipara,nz,68.0,85.0,-35.17,173.16,67.39,67.39,15.7,1554174819
226,hilo,us,90.0,65.0,19.71,-155.08,73.38,78.8,4.7,1554174808
227,saskylakh,ru,20.0,90.0,71.97,114.09,25.81,25.81,10.67,1554174676
228,punta arenas,cl,90.0,93.0,-53.16,-70.91,50.0,50.0,9.17,1554174745
229,tura,ru,80.0,65.0,64.27,100.22,29.32,29.32,7.99,1554174684
231,rafaela,ar,92.0,84.0,-31.25,-61.49,69.98,71.01,4.74,1554174487
232,broken hill,au,0.0,31.0,-31.97,141.45,73.4,73.4,5.82,1554170400
234,buala,sb,92.0,94.0,-8.15,159.59,81.61,81.61,4.07,1554174428
235,new norfolk,au,75.0,42.0,-42.78,147.06,65.08,66.99,3.36,1554174138
236,bethel,us,40.0,49.0,60.79,-161.76,47.26,48.2,3.36,1554170160
237,muisne,ec,56.0,85.0,0.61,-80.02,73.06,73.06,3.06,1554174580
240,tabora,tz,36.0,97.0,-5.02,32.81,61.81,61.81,1.5,1554174686
241,hermanus,za,0.0,89.0,-34.42,19.24,55.69,57.0,1.01,1554174087
242,port elizabeth,za,92.0,100.0,-33.92,25.57,64.42,64.42,5.97,1554174643
243,punta arenas,cl,90.0,93.0,-53.16,-70.91,50.0,50.0,9.17,1554174745
244,khatanga,ru,88.0,100.0,71.98,102.47,31.03,31.03,11.12,1554174810
245,castro,cl,90.0,100.0,-42.48,-73.76,53.6,53.6,5.82,1554170400
246,waterloo,us,90.0,65.0,42.5,-92.34,45.21,48.2,9.17,1554174657
247,ljungby,se,0.0,86.0,56.83,13.94,32.92,35.6,9.17,1554174055
248,fortuna,us,40.0,100.0,40.6,-124.16,53.96,57.0,4.7,1554174807
250,abong mbang,cm,48.0,96.0,3.98,13.18,70.63,70.63,3.29,1554174687
251,lagoa,pt,0.0,87.0,37.14,-8.45,53.38,55.0,5.82,1554174427
252,albany,au,75.0,68.0,-35.02,117.88,64.4,64.4,9.17,1554170400
253,atuona,pf,8.0,100.0,-9.8,-139.03,82.51,82.51,9.89,1554174831
254,vao,nc,64.0,100.0,-22.67,167.48,76.57,76.57,13.47,1554174687
256,jalingo,ng,0.0,26.0,10.3,10.93,73.69,73.69,9.22,1554174688
257,tabou,ci,8.0,97.0,4.42,-7.36,84.04,84.04,8.43,1554174688
258,chokurdakh,ru,20.0,91.0,70.62,147.9,9.43,9.43,13.35,1554174822
259,busselton,au,0.0,32.0,-33.64,115.35,72.23,75.0,5.53,1554174724
260,new norfolk,au,75.0,42.0,-42.78,147.06,65.08,66.99,3.36,1554174138
261,toora-khem,ru,68.0,90.0,52.47,96.11,32.92,32.92,3.29,1554174689
262,lavrentiya,ru,48.0,100.0,65.58,-170.99,28.33,28.33,1.16,1554174522
263,albany,au,75.0,68.0,-35.02,117.88,64.4,64.4,9.17,1554170400
264,gorele,tr,75.0,87.0,41.03,39.0,46.18,46.4,4.7,1554173400
265,cape town,za,0.0,67.0,-33.93,18.42,57.7,60.01,14.99,1554174491
266,lugazi,ug,90.0,94.0,0.37,32.94,69.8,69.8,11.41,1554172200
267,katsuura,jp,75.0,40.0,33.93,134.5,50.16,51.8,17.22,1554174256
268,georgetown,sh,75.0,78.0,-7.93,-14.42,80.6,80.6,13.87,1554169800
269,shache,cn,36.0,38.0,38.42,77.24,55.33,55.33,5.41,1554174689
270,alofi,nu,40.0,69.0,-19.06,-169.92,82.4,82.4,12.75,1554170400
271,sarangani,ph,8.0,100.0,5.4,125.46,81.34,81.34,2.51,1554174563
272,mahebourg,mu,20.0,94.0,-20.41,57.7,74.73,75.99,3.36,1554174541
273,hennenman,za,0.0,91.0,-27.97,27.03,60.01,60.01,13.69,1554174087
275,bethel,us,40.0,49.0,60.79,-161.76,47.26,48.2,3.36,1554170160
276,geraldton,ca,90.0,54.0,49.72,-86.95,28.4,28.4,4.7,1554170400
277,galveston,us,1.0,64.0,40.58,-86.19,37.06,41.0,3.36,1554174900
278,punta arenas,cl,90.0,93.0,-53.16,-70.91,50.0,50.0,9.17,1554174745
279,xam nua,la,32.0,88.0,20.42,104.04,68.56,68.56,2.39,1554174690
280,guerrero negro,mx,0.0,49.0,27.97,-114.04,64.24,64.24,6.64,1554174680
281,suamico,us,90.0,83.0,44.63,-88.04,35.13,39.99,3.36,1554174672
282,boyolangu,id,88.0,91.0,-8.09,111.9,76.39,76.39,4.85,1554174691
283,provideniya,ru,90.0,74.0,64.42,-173.23,33.8,33.8,6.71,1554172200
284,kapaa,us,90.0,65.0,22.08,-159.32,73.49,78.8,9.17,1554174507
285,leningradskiy,ru,44.0,99.0,69.38,178.42,20.77,20.77,11.9,1554174952
286,new norfolk,au,75.0,42.0,-42.78,147.06,65.08,66.99,3.36,1554174138
287,vanimo,pg,20.0,98.0,-2.67,141.3,83.68,83.68,16.71,1554174680
288,takab,ir,48.0,79.0,36.4,47.11,32.74,32.74,10.11,1554174691
289,tateyama,jp,90.0,98.0,36.66,137.31,37.27,43.0,1.12,1554174396
290,hilo,us,90.0,65.0,19.71,-155.08,73.38,78.8,4.7,1554174808
291,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
293,qaanaaq,gl,0.0,72.0,77.48,-69.36,-6.87,-6.87,6.31,1554174824
294,port said,eg,0.0,49.0,25.34,30.55,45.52,45.52,2.84,1554174691
295,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
298,geraldton,au,75.0,61.0,-28.77,114.6,78.8,78.8,16.11,1554172200
300,el tarra,co,92.0,95.0,8.57,-73.09,69.46,69.46,1.95,1554174692
301,kodiak,us,1.0,24.0,39.95,-94.76,45.97,48.0,11.41,1554174731
302,colomi,bo,75.0,55.0,-17.34,-65.87,66.2,66.2,1.95,1554170400
303,puerto ayora,ec,32.0,93.0,-0.74,-90.35,79.0,79.0,5.41,1554174042
304,narsaq,gl,92.0,84.0,60.91,-46.05,23.38,23.38,4.29,1554174953
305,zhigansk,ru,92.0,81.0,66.77,123.37,29.5,29.5,7.43,1554174692
306,hasaki,jp,20.0,25.0,35.73,140.83,52.0,54.0,16.11,1554174278
307,atuona,pf,8.0,100.0,-9.8,-139.03,82.51,82.51,9.89,1554174831
308,atuona,pf,8.0,100.0,-9.8,-139.03,82.51,82.51,9.89,1554174831
309,butaritari,ki,68.0,100.0,3.07,172.79,81.97,81.97,9.22,1554174825
310,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
311,arlit,ne,0.0,36.0,18.74,7.39,71.62,71.62,4.74,1554174574
312,castro,cl,90.0,100.0,-42.48,-73.76,53.6,53.6,5.82,1554170400
313,udachnyy,ru,92.0,80.0,66.42,112.4,34.9,34.9,4.97,1554174693
314,busselton,au,0.0,32.0,-33.64,115.35,72.23,75.0,5.53,1554174724
315,touros,br,75.0,100.0,-5.2,-35.46,73.4,73.4,4.7,1554170400
316,qaanaaq,gl,0.0,72.0,77.48,-69.36,-6.87,-6.87,6.31,1554174824
